statisticalAreaCode,statisticalArea,area,country_code
26902,Little Falls,2675.78,US
27001,O'Neill,3538.05,US
27002,Ord,2283.7,US
27003,Ainsworth,3011.27,US
27004,Winner,2671.02,US
27005,Yankton,2999.6399,US
27006,Mitchell,2155.3101,US
27007,Huron,1797.6001,US
27008,Parkston,2398.8801,US
27009,Chamberlain,3041.2,US
27010,Miller,2307.0,US
27011,Pierre,3387.8301,US
27012,Gettysburg,898.4699699999999,US
27101,Willmar,3743.76,US
27102,Marshall,2218.99,US
27201,Sioux Center,1929.63,US
27202,Worthington,3209.8899,US
27301,Spencer,2520.1799,US
27302,Fairmont,1853.63,US
27401,Storm Lake,2168.1599,US
27402,Fort Dodge,3465.3999,US
27501,Des Moines,4629.9702,US
27502,Creston,1930.05,US
27503,Atlantic,1600.03,US
27504,Carroll,1856.47,US
27601,Rapid City,12642.359,US
27602,Eagle Butte,4417.04,US
27603,Southwest Jackson,3698.78,US
27604,Murdo,971.75,US
27605,Mission,2700.8701,US
27701,Scottsbluff,7468.1699,US
27702,Cheyenne,4836.75,US
27703,Torrington,4343.3301,US
27704,Gordon,5757.54,US
27801,Norfolk,2439.97,US
27802,Columbus,2827.55,US
27901,Hastings,1712.79,US
27902,York,1593.83,US
27903,Grand Island,2169.1699,US
28001,Sioux City,4101.1299,US
28002,West Point,1467.97,US
28101,Lincoln,3434.0701,US
28102,Nebraska City,2396.8201,US
28201,Red Oak,2437.28,US
28202,Omaha,4950.5898,US
28301,Sterling,7426.25,US
28302,Ogallala,2984.6499,US
28303,Oshkosh,1731.15,US
28304,Valentine,8233.04,US
28305,Broken Bow,4004.29,US
28306,North Platte,4006.51,US
28401,Colorado Springs,4962.71,US
28402,Limon,2586.5601,US
28501,Springfield,2557.24,US
28502,Pueblo,7653.7603,US
28503,Trinidad,6369.1001,US
28504,Burlington,5729.0801,US
28601,Oberlin,1964.02,US
28602,Norton,881.4199800000001,US
28603,Phillipsburg,1791.4,US
28604,Colby,4116.3501,US
28605,Goodland,1970.2,US
28606,Wano,1941.73,US
28607,McCook,3047.76,US
28608,Kearney,2639.25,US
28609,Lexington,4297.5698,US
28701,Salida,1015.07,US
28702,Glenwood Springs,6624.4702,US
28703,Granby,1869.7,US
28704,Laramie,5930.0801,US
28800,Fort Collins,7949.73,US
28900,Denver,9139.1504,US
29001,Pratt,2594.73,US
29002,Coldwater,789.75,US
29003,Dodge City,3806.3,US
29004,Great Bend,3790.45,US
29005,Hutchinson,2723.1299,US
29006,Hays,2698.6401,US
29007,Township 11,1794.12,US
29008,Center,1792.5499,US
29101,Concordia,2353.3799,US
29102,Superior,1151.36,US
29103,Beloit,1612.96,US
29104,Salina,2163.23,US
29201,Hiawatha,1291.6599,US
29202,Marysville,1803.29,US
29203,Manhattan,4099.2402,US
29204,Topeka,3764.8799,US
29301,Wichita,5310.5801,US
29302,Newton,2395.4199,US
29303,Winfield,3580.6101,US
29401,Ottawa,2171.79,US
29402,Emporia,2287.8999,US
29403,Bartlesville,3463.0601,US
29501,Leavenworth,903.41998,US
29502,Kansas City,6884.7998,US
29503,St. Joseph,3096.3999,US
29504,Sedalia,2873.49,US
29505,Polk,1894.29,US
29506,Bethany,1485.11,US
29601,Columbia,4010.7,US
29602,Eldon,1922.8201,US
29700,Springfield,5698.7603,US
29800,Monett,2566.8601,US
29901,Joplin,3577.8699,US
29902,Center,2438.77,US
30000,Russellville,3813.78,US
30100,Fort Smith,7103.8999,US
30200,Muskogee,2905.01,US
30300,Fayetteville,4002.1299,US
30401,Stillwater,1439.6799,US
30402,Tulsa,8149.7598,US
30403,Okmulgee,1331.3,US
30501,Woodward,3519.0498,US
30502,Enid,7140.5098,US
30601,El Paso,9401.8896,US
30602,Alamogordo,11459.48,US
30603,Truth or Consequences,4236.5898,US
30604,Deming,10379.49,US
30605,Van Horn,3812.9399,US
30701,Roswell,10273.4,US
30702,Santa Rosa,5365.8301,US
30801,Hobbs,7587.9902,US
30802,Lubbock,5276.1401,US
30901,Clovis,4748.0898,US
30902,Littlefield,2744.6201,US
30903,Amarillo,5758.29,US
30904,Pampa,4584.8198,US
30905,Wellington,1834.87,US
30906,Memphis,2738.8601,US
30907,Matador,989.87,US
30908,Plainview,2898.1699,US
31001,Garden City,3749.6699,US
31002,Ulysses,1983.0,US
31003,Scott City,2214.3401,US
31004,Liberal,3437.95,US
31005,Perryton,2770.8999,US
31006,Guymon,5543.5,US
31007,Dumas,3878.3501,US
31101,Victoria,5518.5698,US
31102,La Grange,1933.6,US
31103,Gonzales,1069.91,US
31201,Austin,6651.2803,US
31202,Burnet,1986.4299,US
31301,San Antonio,9606.9902,US
31302,Beeville,1633.97,US
31303,Kerrville,2169.3398,US
31304,Mason,932.26001,US
31401,Midland,6248.1499,US
31402,Pecos,4996.1099,US
31403,Fort Stockton,7572.7695,US
31404,Alpine,12314.53,US
31501,Crystal City,2636.3999,US
31502,Pearsall,2628.75,US
31503,Laredo,5570.0898,US
31600,Brownsville,4872.8501,US
31700,Corpus Christi,9864.3096,US
31800,College Station,2935.1799,US
31900,Pearland,4304.3799,US
32000,Houston,9086.5801,US
32100,Beaumont,6343.2402,US
32201,Huntsville,4089.48,US
32202,Nacogdoches,2984.9099,US
32301,San Angelo,5754.7002,US
32302,Brady,3124.3999,US
32303,Junction,2153.3401,US
32304,Uvalde,5833.4497,US
32305,Del Rio,6956.04,US
32306,Eagle Pass,1291.84,US
32401,Big Spring,4789.6299,US
32402,Sweetwater,1815.8301,US
32403,Snyder,2726.5601,US
32501,Abilene,5527.0303,US
32502,Childress,1615.3199,US
32503,Haskell,4504.7803,US
32601,Wichita Falls,2675.1199,US
32602,Graham,2766.6201,US
32603,Seymour,901.08002,US
32604,Vernon,2382.95,US
32701,Brownwood,4126.8599,US
32702,Stephenville,2874.0701,US
32801,Waco,3822.5601,US
32802,Corsicana,3992.1599,US
32900,Killeen,2858.02,US
33000,Fort Worth,6017.7803,US
33100,Dallas,5558.6797,US
33200,Paris,4201.9199,US
33300,Tyler,5594.1401,US
33400,Longview,3964.78,US
33500,Texarkana,4268.04,US
33601,Lawton,3390.97,US
33602,Altus,3017.27,US
33603,Frederick,879.2899800000001,US
33700,Ardmore,3689.76,US
33801,Elk City,4061.9302,US
33802,Chickasha,2395.79,US
33803,Oklahoma City,6816.8301,US
33901,Ada,3051.5601,US
33902,Sherman,2821.97,US
34001,Hot Springs,5611.25,US
34002,Idabel,5568.8799,US
34101,Sand Point,15011.77,US
34102,Anchorage,48858.25,US
34103,Valdez,43515.672,US
34104,Bristol Bay,917.60999,US
34105,Kotzebue,40660.961,US
34106,Nome,28276.17,US
34107,Dillingham,49621.359,US
34108,Kodiak,11845.9,US
34109,Juneau,5835.2202,US
34110,Sitka,4849.75,US
34111,Ketchikan,1743.55,US
34112,Bethel,65634.672,US
34113,Barrow,93823.102,US
34114,Unalaska,14114.7,US
34115,Fairbanks,192675.08,US
34201,Havre,8602.2305,US
34202,Shelby,6622.77,US
34203,Great Falls,10872.188999999997,US
34204,Lewistown,6024.5596,US
